attacker,defender,multiplier
Fire,Grass,2.0
Fire,Ice,2.0
Fire,Bug,2.0
Fire,Steel,2.0
Fire,Water,0.5
Fire,Rock,0.5
Fire,Dragon,0.5
Fire,Fire,0.5
Water,Fire,2.0
Water,Rock,2.0
Water,Ground,2.0
Water,Water,0.5
Water,Grass,0.5
Water,Dragon,0.5
Electric,Water,2.0
Electric,Flying,2.0
Electric,Grass,0.5
Electric,Electric,0.5
Electric,Dragon,0.5
Electric,Ground,0.0
Grass,Water,2.0
Grass,Rock,2.0
Grass,Ground,2.0
Grass,Fire,0.5
Grass,Grass,0.5
Grass,Poison,0.5
Grass,Flying,0.5
Grass,Bug,0.5
Grass,Dragon,0.5
Grass,Steel,0.5
